ADDRESS_LA,X,Y
533 S ROCHEBLAVE ST,3674928.663,533093.1731
3438 CLEVELAND AVE,3672588.601,536574.3682
418 S CLARK ST,3672049.901,535865.9136
420 S TELEMACHUS ST,3671485.29,536211.9653
510 S CORTEZ ST,3671099.027,536206.0614
3509 BANKS ST,3672097.842,536184.1614
3320 CLEVELAND AVE,3673115.913,536182.6904
3600 BANKS ST,3671779.803,536182.4509
3116 CLEVELAND AVE,3673629.432,535784.786
607 S TELEMACHUS ST,3671018.399,535771.5294
426 S CLARK ST,3672013.557,535810.144
508 S GENOIS ST,3671596.753,535817.3524
3300 PALMYRA ST,3673015.328,535775.1362
3027 CLEVELAND AVE,3673927.085,535742.6265
3522 BAUDIN ST,3671719.487,535794.4776
117 S GAYOSO ST,3674156.5,535759.9513
3112 CLEVELAND AVE,3673659.177,535762.3365
615 S TELEMACHUS ST,3670995.629,535741.064
326 S RENDON ST,3673007.78,535592.7596
130 S GAYOSO ST,3674226.127,535571.8009
723 S DUPRÉ ST,3672943.571,533631.0493
727 S DUPRÉ ST,3672931.577,533613.3459
742 S GAYOSO ST,3672737.742,533612.5426
731 S DUPRÉ ST,3672920.507,533599.7416
744 S GAYOSO ST,3672716.576,533590.4543
3034 CANAL ST,3674046.727,535934.3817
600 S CORTEZ ST,3670905.856,535951.6336
133 S PIERCE ST,3671246.125,537840.0722
3914 CANAL ST,3671587.483,537814.5847
4630 S CARROLLTON AVE,3670839.271,537843.9613
4015 CLEVELAND AVE,3671153.939,537826.5306
4620 S CARROLLTON AVE,3670814.427,537806.9313
3908 CANAL ST,3671621.197,537786.6061
135 S PIERCE ST,3671211.617,537795.0309
4616 S CARROLLTON AVE,3670797.767,537786.8104
4020 CLEVELAND AVE,3671043.807,537785.4656
3900 CANAL ST,3671659.542,537757.3862
220 S TELEMACHUS ST,3672059.422,536880.3567
4316 S CARROLLTON AVE,3669977.694,536880.5191
3612 CLEVELAND AVE,3672191.592,536882.2617
3912 BANKS ST,3670843.449,536873.6281
3717 PALMYRA ST,3671767.167,536895.5006
3835 BANKS ST,3671126.417,536893.3861
315 S CORTEZ ST,3671453.513,536888.9361
420 S PIERCE ST,3670693.126,536890.403
635 S JOHNSON ST,3675686.117,531651.2649
625 S JOHNSON ST,3675701.098,531673.5869
